ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
2020-06-09,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.43062,0.39443,full_february,DAY_OF_WEEK
2020-06-10,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.43237,0.40598,full_february,DAY_OF_WEEK
2020-06-11,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.37689,0.38846,full_february,DAY_OF_WEEK
2020-06-12,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.40532,0.35322,full_february,DAY_OF_WEEK
2020-06-13,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.37612,0.37895,full_february,DAY_OF_WEEK
2020-06-14,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.46641,0.41195,full_february,DAY_OF_WEEK
2020-06-15,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.33654,0.34183,full_february,DAY_OF_WEEK
2020-06-16,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.29855,0.34281,full_february,DAY_OF_WEEK
2020-06-17,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.42408,0.3672,full_february,DAY_OF_WEEK
2020-06-18,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.34696,0.3757,full_february,DAY_OF_WEEK
2020-06-19,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.34454,0.34691,full_february,DAY_OF_WEEK
2020-06-20,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.29494,0.36553,full_february,DAY_OF_WEEK
2020-06-21,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.40011,0.41238,full_february,DAY_OF_WEEK
2020-06-22,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.30377,0.32687,full_february,DAY_OF_WEEK
2020-06-23,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.30058,0.34011,full_february,DAY_OF_WEEK
2020-06-24,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.3291,0.34541,full_february,DAY_OF_WEEK
2020-06-25,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.30259,0.34189,full_february,DAY_OF_WEEK
2020-06-26,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.29472,0.32742,full_february,DAY_OF_WEEK
2020-06-27,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.296,0.34258,full_february,DAY_OF_WEEK
2020-06-28,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.36594,0.39529,full_february,DAY_OF_WEEK
2020-06-29,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.30576,0.35411,full_february,DAY_OF_WEEK
2020-06-30,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.29606,0.34267,full_february,DAY_OF_WEEK
2020-07-01,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.31347,0.33372,full_february,DAY_OF_WEEK
2020-07-02,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.32369,0.34593,full_february,DAY_OF_WEEK
2020-07-03,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.36627,0.35032,full_february,DAY_OF_WEEK
2020-07-04,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.33075,0.37623,full_february,DAY_OF_WEEK
2020-07-05,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.42021,0.41884,full_february,DAY_OF_WEEK
2020-07-06,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.34585,0.34374,full_february,DAY_OF_WEEK
2020-07-07,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.32901,0.3483,full_february,DAY_OF_WEEK
2020-07-08,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.33471,0.36252,full_february,DAY_OF_WEEK
2020-07-09,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.34038,0.35214,full_february,DAY_OF_WEEK
2020-07-10,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.35179,0.38674,full_february,DAY_OF_WEEK
2020-07-11,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.32469,0.36174,full_february,DAY_OF_WEEK
2020-07-12,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.38523,0.39551,full_february,DAY_OF_WEEK
2020-07-13,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.33796,0.34328,full_february,DAY_OF_WEEK
2020-07-14,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.30302,0.3555,full_february,DAY_OF_WEEK
2020-07-15,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.333,0.36196,full_february,DAY_OF_WEEK
2020-07-16,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.30211,0.3629,full_february,DAY_OF_WEEK
2020-07-17,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.30851,0.32849,full_february,DAY_OF_WEEK
2020-07-18,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.29162,0.34302,full_february,DAY_OF_WEEK
2020-07-19,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.33648,0.37421,full_february,DAY_OF_WEEK
2020-07-20,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.29408,0.3151,full_february,DAY_OF_WEEK
2020-07-21,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.32401,0.34168,full_february,DAY_OF_WEEK
2020-07-22,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.30558,0.34502,full_february,DAY_OF_WEEK
2020-07-23,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.32561,0.34529,full_february,DAY_OF_WEEK
