GID_0,GID_1,GID_2,rwi_weight,pop2020,download_kbps_fixed,upload_kbps_fixed,download_mbps_fixed,upload_mbps_fixed,latency_fixed,tests_unique_dev_fixed,tests_fixed,hdi,life_expectancy,literacy_rate,gdp_per_capita,life_expectancy_index,literacy_index,education_index,gdp_index,pop60plus,pop60plus_ratio
SLV,SLV.2_1,SLV.2.9_1,-0.1362639972975859,11812.745222307523,-1,-1,-1,-1,-1,-1,-1,0.616,64.9,67.5,2731.5,0.666,0.675,0.63,0.552,1224.768584,0.1036819605392921
SLV,SLV.3_1,SLV.3.1_1,-0.2128166634119771,7986.036571444387,-1,-1,-1,-1,-1,-1,-1,0.719,66.3,71.2,12901.1,0.688,0.712,0.657,0.811,817.3133200000002,0.1023427970418344
SLV,SLV.3_1,SLV.3.2_1,-0.5781237363283961,3604.1632392153983,-1,-1,-1,-1,-1,-1,-1,0.628,65.7,68.8,2969.1,0.678,0.688,0.64,0.566,340.726798,0.0945370049537972
SLV,SLV.3_1,SLV.3.3_1,-0.172320478199884,951.2514062303984,-1,-1,-1,-1,-1,-1,-1,0.72,68.3,84.2,4625.0,0.721,0.842,0.799,0.64,175.95865400000002,0.184975972542617
SLV,SLV.3_1,SLV.3.4_1,0.4224462582890832,27925.574270480207,-1,-1,-1,-1,-1,-1,-1,0.731,67.5,84.1,6567.2,0.709,0.841,0.785,0.698,3226.205159,0.1155286952293898
SLV,SLV.3_1,SLV.3.5_1,-0.0446118750651936,4224.1688544179015,-1,-1,-1,-1,-1,-1,-1,0.655,67.3,69.2,4897.0,0.705,0.692,0.609,0.649,428.444608,0.1014269606083349
SLV,SLV.3_1,SLV.3.6_1,0.4242885775455051,1743.1304340399222,-1,-1,-1,-1,-1,-1,-1,0.644,65.6,71.2,3475.2,0.676,0.712,0.664,0.592,217.848829,0.1249756327729923
SLV,SLV.3_1,SLV.3.7_1,0.3734032028275653,5059.665960026835,-1,-1,-1,-1,-1,-1,-1,0.673,67.6,75.6,3873.3,0.71,0.756,0.7,0.61,573.374556,0.1133226107276376
SLV,SLV.3_1,SLV.3.8_1,-0.1700317917510664,4331.111575357687,-1,-1,-1,-1,-1,-1,-1,0.668,66.7,72.4,4790.7,0.694,0.724,0.663,0.646,479.1623270000001,0.110632644452349
SLV,SLV.3_1,SLV.3.9_1,0.0657194467370264,2217.6833831036934,-1,-1,-1,-1,-1,-1,-1,0.639,65.7,75.1,2758.0,0.678,0.751,0.685,0.554,276.743862,0.1247896178996892
SLV,SLV.3_1,SLV.3.10_1,0.7358636895870785,9204.438272650128,-1,-1,-1,-1,-1,-1,-1,0.69,67.1,76.0,5287.5,0.702,0.76,0.705,0.662,881.1360510000002,0.0957294758136614
SLV,SLV.3_1,SLV.3.11_1,0.2776913762383118,8516.092726346875,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,788.2567359999999,0.0925608446654544
SLV,SLV.3_1,SLV.3.12_1,-0.052900644044757,3004.612020235801,-1,-1,-1,-1,-1,-1,-1,0.629,65.6,69.1,2707.3,0.676,0.691,0.66,0.551,358.031374,0.1191606009656786
SLV,SLV.3_1,SLV.3.13_1,0.1452854071223465,11535.399835604368,-1,-1,-1,-1,-1,-1,-1,0.678,67.0,74.2,5009.1,0.699,0.742,0.68,0.653,938.72116,0.0813774271701105
SLV,SLV.3_1,SLV.3.14_1,-0.1609975361665893,11408.049495152334,-1,-1,-1,-1,-1,-1,-1,0.667,66.3,73.9,4439.0,0.689,0.739,0.681,0.633,1139.962083,0.0999261165096108
SLV,SLV.3_1,SLV.3.15_1,-0.1779737677333074,856.0941500009596,-1,-1,-1,-1,-1,-1,-1,0.635,65.4,73.6,2455.1,0.674,0.736,0.695,0.534,115.25417900000002,0.1346279249774932
SLV,SLV.3_1,SLV.3.16_1,-0.021234557678816,3270.4272098282136,-1,-1,-1,-1,-1,-1,-1,0.646,66.1,67.4,3262.3,0.686,0.674,0.67,0.582,356.0204980000001,0.1088605479217196
SLV,SLV.3_1,SLV.3.17_1,0.2308895581351119,27514.40267289813,-1,-1,-1,-1,-1,-1,-1,0.669,66.1,72.0,5443.9,0.686,0.72,0.653,0.667,2594.503763999999,0.0942962053308757
SLV,SLV.3_1,SLV.3.18_1,-0.2640556797375115,1984.171208855681,-1,-1,-1,-1,-1,-1,-1,0.643,65.1,70.7,3008.9,0.668,0.707,0.694,0.568,190.6017760000001,0.0960611539716497
